"Story","Title","Result","Date","Stability","Duration (s)"
"Create user test","Verify get details of single user","FAILURE","2021-06-13T20:52:47.332791+05:30[Asia/Colombo]","0.0","8.63"
"Create user test","Verify create a new user with valid name and job","SUCCESS","2021-06-13T20:52:56.2209202+05:30[Asia/Colombo]","0.0","0.67"
